Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left
574,6,"(480.0, 263.0)","(495.0, 262.0)","(495.0, 276.0)","(481.0, 276.0)"
577,6,"(486.0, 284.0)","(501.0, 282.0)","(502.0, 297.0)","(487.0, 298.0)"
579,6,"(444.0, 261.0)","(460.0, 259.0)","(461.0, 274.0)","(446.0, 276.0)"
580,6,"(430.0, 267.0)","(446.0, 265.0)","(447.0, 281.0)","(432.0, 282.0)"
583,6,"(456.0, 278.0)","(473.0, 277.0)","(474.0, 293.0)","(457.0, 295.0)"
584,6,"(457.0, 270.0)","(474.0, 268.0)","(476.0, 284.0)","(459.0, 286.0)"
585,6,"(466.0, 274.0)","(483.0, 272.0)","(484.0, 290.0)","(467.0, 291.0)"
586,6,"(467.0, 272.0)","(485.0, 271.0)","(485.0, 288.0)","(468.0, 290.0)"
587,6,"(476.0, 250.0)","(494.0, 249.0)","(495.0, 267.0)","(477.0, 268.0)"
588,6,"(466.0, 274.0)","(484.0, 273.0)","(485.0, 291.0)","(467.0, 292.0)"
590,6,"(436.0, 267.0)","(454.0, 265.0)","(457.0, 285.0)","(438.0, 286.0)"
592,6,"(450.0, 255.0)","(471.0, 254.0)","(472.0, 274.0)","(451.0, 275.0)"
593,6,"(460.0, 272.0)","(481.0, 270.0)","(483.0, 290.0)","(462.0, 292.0)"
594,6,"(460.0, 276.0)","(481.0, 274.0)","(483.0, 296.0)","(462.0, 297.0)"
595,6,"(439.0, 296.0)","(461.0, 294.0)","(462.0, 316.0)","(441.0, 318.0)"
596,6,"(393.0, 296.0)","(417.0, 294.0)","(418.0, 317.0)","(395.0, 318.0)"
597,6,"(383.0, 294.0)","(406.0, 293.0)","(408.0, 316.0)","(385.0, 318.0)"
598,6,"(380.0, 297.0)","(405.0, 295.0)","(407.0, 318.0)","(383.0, 321.0)"
599,6,"(385.0, 294.0)","(410.0, 290.0)","(412.0, 314.0)","(387.0, 317.0)"
600,6,"(386.0, 290.0)","(412.0, 287.0)","(414.0, 313.0)","(388.0, 315.0)"
601,6,"(389.0, 294.0)","(416.0, 292.0)","(418.0, 319.0)","(391.0, 321.0)"
602,6,"(375.0, 311.0)","(403.0, 309.0)","(405.0, 337.0)","(378.0, 339.0)"
603,6,"(382.0, 294.0)","(411.0, 292.0)","(413.0, 320.0)","(384.0, 322.0)"
604,6,"(377.0, 303.0)","(406.0, 301.0)","(408.0, 330.0)","(379.0, 332.0)"
605,6,"(367.0, 305.0)","(397.0, 303.0)","(399.0, 332.0)","(369.0, 334.0)"
606,6,"(377.0, 307.0)","(408.0, 304.0)","(411.0, 334.0)","(380.0, 336.0)"
607,6,"(375.0, 306.0)","(407.0, 304.0)","(409.0, 334.0)","(378.0, 337.0)"
608,6,"(410.0, 310.0)","(443.0, 307.0)","(445.0, 339.0)","(412.0, 341.0)"
609,6,"(432.0, 301.0)","(465.0, 300.0)","(466.0, 333.0)","(433.0, 334.0)"
610,6,"(453.0, 298.0)","(487.0, 297.0)","(488.0, 332.0)","(454.0, 333.0)"
611,6,"(457.0, 327.0)","(492.0, 325.0)","(494.0, 361.0)","(459.0, 363.0)"
612,6,"(459.0, 328.0)","(496.0, 326.0)","(498.0, 362.0)","(461.0, 364.0)"
613,6,"(456.0, 308.0)","(493.0, 305.0)","(496.0, 342.0)","(458.0, 345.0)"
614,6,"(449.0, 303.0)","(487.0, 300.0)","(490.0, 339.0)","(452.0, 341.0)"
